time,frequency,confidence
5.750,218.716,0.913902
5.760,218.666,0.910671
5.770,218.650,0.906967
5.780,218.497,0.913051
5.790,218.315,0.915814
5.800,218.374,0.918161
5.810,218.616,0.917110
5.820,218.907,0.905643
5.830,219.068,0.903762
5.840,218.720,0.913617
5.850,218.969,0.909881
5.860,219.120,0.907201
5.870,219.087,0.897021
5.880,219.086,0.904403
5.890,219.050,0.909728
5.900,219.199,0.896755
5.910,219.283,0.892166
5.920,218.973,0.906605
5.930,219.067,0.902766
5.940,219.246,0.903742
5.950,219.062,0.905372
5.960,218.870,0.909777
5.970,218.841,0.918851
5.980,218.923,0.915218
5.990,218.957,0.917171
6.000,218.879,0.910410
6.010,219.102,0.894093
6.020,218.970,0.906346
6.030,218.833,0.900499
6.040,219.053,0.900547
6.050,218.818,0.916130
6.060,219.116,0.908788
6.070,219.416,0.902395
6.080,219.368,0.900196
6.090,219.277,0.905674
6.100,219.277,0.905273
6.110,219.057,0.898799
6.120,219.115,0.879141
6.130,219.006,0.854703
6.140,219.104,0.831945
6.150,218.929,0.790471
6.160,218.775,0.722686
6.170,219.740,0.759938
6.180,219.997,0.670638
6.190,219.805,0.717451
6.200,219.467,0.691174
6.210,219.317,0.734793
6.220,219.446,0.790444
6.230,219.696,0.821499
6.240,219.687,0.851661
6.250,219.131,0.875778
6.260,218.912,0.895407
6.270,219.042,0.840354
6.280,218.188,0.802854
6.290,218.897,0.649279
6.300,219.911,0.679602
6.310,220.168,0.633415
6.320,219.116,0.391053
6.330,217.423,0.369631
