time,frequency,confidence
3.690,216.146,0.084805
3.700,228.431,0.037072
3.710,242.852,0.141466
3.720,243.104,0.314301
3.730,242.618,0.217223
3.740,242.998,0.131599
3.750,242.959,0.086079
3.760,241.614,0.113382
3.770,239.812,0.107025
3.780,239.236,0.068558
3.790,238.222,0.077279
3.800,238.889,0.064359
3.810,245.430,0.109006
3.820,259.471,0.140696
3.830,266.022,0.087931
3.840,275.049,0.130358
3.850,290.757,0.105415
3.860,303.586,0.095115
3.870,317.241,0.053644
3.880,330.630,0.065249
3.890,330.896,0.112029
3.900,326.587,0.113018
3.910,298.572,0.094328
3.920,265.016,0.098282
3.930,242.047,0.131001
3.940,241.863,0.129817
3.950,241.139,0.218624
3.960,242.488,0.140525
3.970,213.453,0.086704
3.980,189.681,0.107736
3.990,170.440,0.046459
4.000,149.077,0.063588
4.010,131.513,0.212806
4.020,120.047,0.103762
4.030,124.253,0.219812
4.040,123.959,0.368946
4.050,122.457,0.518791
4.060,121.782,0.555795
4.070,121.479,0.450295
4.080,121.671,0.491082
4.090,121.891,0.479361
4.100,121.175,0.557209
4.110,118.460,0.225806
4.120,118.557,0.112106
4.130,118.236,0.163497
4.140,117.843,0.164694
4.150,118.164,0.178113
4.160,118.281,0.235160
4.170,117.803,0.174307
4.180,116.496,0.133076
4.190,116.455,0.101089
4.200,116.401,0.101651
4.210,118.047,0.111268
4.220,119.817,0.100250
4.230,119.642,0.030941
4.240,119.065,0.041181
4.250,118.623,0.066008
4.260,118.407,0.084860
4.270,121.164,0.135163
4.280,123.179,0.188184
4.290,124.238,0.078574
4.300,123.468,0.046502
4.310,120.260,0.042953
4.320,117.996,0.069467
4.330,115.299,0.138703
4.340,110.762,0.122568
4.350,108.760,0.129445
4.360,106.686,0.067250
4.370,106.356,0.071574
4.380,105.937,0.167667
4.390,103.333,0.356474
4.400,103.797,0.241667
4.410,106.922,0.109233
4.420,109.574,0.109391
4.430,111.620,0.137639
4.440,114.085,0.142836
4.450,116.828,0.182481
4.460,120.298,0.134756
4.470,124.297,0.029757
4.480,123.762,0.036653
4.490,123.449,0.037082
4.500,125.672,0.042602
4.510,134.021,0.095433
4.520,140.385,0.234093
4.530,157.578,0.314049
4.540,167.803,0.388063
4.550,183.023,0.095925
4.560,177.334,0.147102
4.570,175.171,0.245403
4.580,174.507,0.270472
4.590,166.186,0.310424
4.600,159.363,0.225599
4.610,159.097,0.199018
4.620,158.056,0.189103
4.630,158.684,0.060375
4.640,158.572,0.070038
4.650,156.390,0.036849
4.660,157.165,0.028490
4.670,157.567,0.022010
4.680,158.413,0.028670
4.690,157.808,0.023277
4.700,158.024,0.009831
4.710,157.786,0.194118
4.720,157.833,0.192767
4.730,158.364,0.286703
4.740,158.198,0.553750
4.750,144.270,0.485627
4.760,128.407,0.149078
4.770,125.331,0.129341
4.780,123.805,0.090769
4.790,123.833,0.160910
4.800,127.210,0.107796
4.810,131.369,0.009853
4.820,140.096,0.032329
4.830,147.188,0.077230
4.840,135.037,0.106938
4.850,132.929,0.054375
4.860,132.673,0.174187
4.870,130.004,0.110788
4.880,125.272,0.246477
4.890,124.109,0.214201
4.900,120.368,0.261199
4.910,119.563,0.382659
4.920,119.437,0.118001
4.930,121.797,0.197255
4.940,120.535,0.385675
4.950,120.355,0.328525
4.960,121.125,0.425919
4.970,123.309,0.430166
4.980,123.923,0.431197
4.990,121.378,0.262954
